	100_TF_25875	101_WF_25876	102_WF_25877	103_WF_25878	110_WM_25880	111_TM_25881	112_TM_25882	113_TF_25883	120_WM_37906	130_WF_37916	131_TF_37917	132_TF_37918	133_TF_37919	140_TM_37922	141_TM_37923	142_WM_37925	143_WM_37926	150_WF_37927	151_WM_37929	152_WF_37930	160_TM_37933	200_WF_25887	201_WF_25888	202_WF_25889	203_TM_25890	210_TM_25900	211_WF_37901	212_TF_37902	220_WF_37913	230_WM_37915
FOXN2	9.060048021	9.155452955	8.611405106	9.128102351	8.723316268	8.683634573	8.43897392	8.392972389	8.764866425	9.160416088	9.364149539	8.995658837	9.108323863	8.530768192	8.780498486	8.672038504	8.515782848	8.716081695	8.359274275	8.360014917	8.500640718	8.482393778	8.634051966	8.92117693	7.93088277	8.58173117	8.834735433	9.015784607	8.418269737	8.630810985
AKR1A1	8.584148287	9.033352617	8.898513173	8.707453445	8.974097211	8.833763478	8.650104278	8.443304654	8.231096084	8.416550927	8.244887164	8.339129675	8.830999706	8.984380965	8.634064989	8.45382619	8.035931176	8.821273782	8.684223913	9.105916446	8.554425575	8.65126158	8.814420304	8.871090915	8.759873619	8.570536625	9.18536783	9.274003296	9.389994964	8.668004913
HERPUD1	8.719639824	8.73576635	8.616006836	8.672588706	9.208581616	8.936091573	8.646657612	9.088482415	8.31593457	8.592809511	8.214877294	8.627837747	8.597336668	8.729807348	8.67871549	8.826630257	8.837174861	8.99307191	8.777923766	8.921479451	8.361580742	8.486656378	8.083122479	8.713426351	8.719678942	9.052391504	8.747399278	8.396511005	8.742758046	8.613578373
STX7	8.587883952	8.535750669	8.72221393	8.144368985	8.539524947	8.620356206	8.622294726	8.671269325	8.210371468	8.809000753	8.482534768	8.66058078	8.210651261	8.462394721	8.286401457	8.991890405	8.717834353	8.574659739	8.64648098	8.468996116	8.924284343	9.949116997	8.62601825	8.603593378	9.942967456	8.885254167	8.808197974	8.343377266	9.045050666	8.749094586
FAM65B	8.846491004	8.652814524	8.245444612	8.426638088	8.620984889	8.509111278	8.462733057	8.61103069	9.037442054	8.461779536	8.270112093	9.223977876	8.64662616	8.60870169	8.800819844	8.791156334	8.754367218	9.28254639	8.706399374	9.220067036	8.002086328	9.62718318	8.75679317	8.59035798	8.031252588	8.894240502	9.377713077	8.840820155	8.454258123	8.723643768
ZXDC	8.308438546	8.810140777	8.696394373	8.933179943	8.718887891	8.615370263	8.670611107	8.637159588	8.173354465	8.534101075	8.962264454	8.877081875	9.003747983	9.163768368	9.078692853	8.30567649	9.172226998	8.737749182	8.859278244	8.750010827	8.781623543	8.64746508	8.112365321	8.773146223	8.645667544	8.983937351	8.869369333	8.539044508	9.02613299	8.668004913
PAPD4	8.335432736	8.195435391	8.263227181	8.366652478	8.753936093	9.004268204	9.115979275	9.033958752	8.989944479	8.860400115	8.959699289	8.426562773	8.235138797	9.003684292	8.332008106	8.83931463	9.073391344	8.574659739	9.112320381	8.302212897	8.914064709	8.507779724	8.185670016	8.460503015	8.828328772	9.33756575	8.568992702	8.383413095	8.136944316	8.96793765
FBXO28	8.530792768	9.036793145	8.996835466	8.82000167	8.724789345	8.992808936	8.790945358	8.914711136	8.441029434	8.55509931	8.628974272	8.61304028	8.417127292	8.924858495	9.098495477	8.72772841	8.744496068	8.755557533	8.724619239	8.547483566	8.792831199	8.593223972	8.356266296	8.761400411	8.781057195	8.964168911	8.572507899	8.821602952	8.537083693	8.613578373
TIAM2	8.523004571	8.78986666	8.730717674	8.803996416	8.600249457	8.534447856	8.458800699	8.52963839	9.037442054	9.024515085	8.92592695	9.174616322	8.931187641	8.921477979	8.986029823	9.087919348	8.666459861	8.124492128	8.396236042	8.855339	8.631474133	8.658824383	9.270109377	8.819186848	8.485005347	8.736551853	8.719171898	8.97726477	8.082539552	8.58909707
SLC25A19	8.534670935	8.302930931	8.521022032	8.480156595	8.814657043	9.556371498	8.73691312	9.378159194	8.400544998	8.353912208	9.167276132	7.946545482	7.802711716	9.335922585	8.820856226	8.449682601	8.879852886	7.991382738	8.93937109	8.766477411	9.07554275	8.235910699	9.149619672	8.489344662	8.735272653	8.289800393	8.474409202	8.864483985	8.136944316	6.851146832
ZNF143	9.046579823	9.123464915	9.072240738	8.873116803	8.445970978	8.746504284	8.643202593	8.896834858	8.650918947	8.612965432	8.689174692	8.845835757	9.092894137	8.797825599	9.017588195	8.794417876	8.879852886	8.871101383	8.859278244	8.647010168	8.315496996	8.385226216	8.38995352	8.58146555	8.687970825	8.485636366	8.728643183	8.840820155	8.827267421	8.567772839
HEATR3	8.855797829	8.841992719	9.065547366	9.083787958	8.280931959	8.675278147	8.933325232	8.467817063	8.612130683	8.619621193	8.559337381	8.940557714	8.717505451	8.565933038	8.978921394	8.235042542	8.185540773	9.099909764	8.997378	8.882767123	8.993848768	8.993498489	8.785897308	8.849076647	9.003184797	8.352316608	8.799241502	8.396511005	9.045050666	8.647837707
EI24	8.674721531	8.439859936	8.521022032	8.903463559	8.733596025	8.604087684	8.608183752	8.579928651	8.414168535	9.006900675	9.010149225	8.67845159	8.711731512	8.782987908	8.713455936	8.530342172	8.754367218	8.734160698	8.64648098	8.636288858	9.135360698	8.495143419	8.734569057	9.148276501	8.729055597	9.033551759	8.554844463	9.117649733	8.583261054	8.852469674
SMIM3	8.569106843	9.256221387	8.521022032	9.210401392	7.928454844	8.185600429	8.147366892	8.183521002	8.151757216	8.803173917	8.802453043	8.616754079	8.594198712	8.512854366	9.178183065	9.205073487	9.181989243	8.508868934	8.109010291	8.864540284	8.68463842	8.97850017	9.22312055	8.959336052	9.112098665	8.900200182	8.823001797	9.281040131	9.540667643	8.858323839
LOC102069140	8.756573603	9.077447697	9.259760021	8.794306498	8.647653003	9.044593744	9.443440428	8.696326649	8.612130683	8.420375504	8.290794429	8.548377316	8.916223505	8.490139989	8.569106377	8.657769544	8.200147832	8.466148433	8.163814845	8.729996919	8.527787342	8.707028552	9.129932697	8.856452459	9.003184797	8.330304903	8.319560399	8.657780202	8.848983921	8.694458396
GOSR2	8.565321519	8.918650054	8.700730208	8.98516243	8.302892028	8.611619323	8.924829891	8.487126953	8.354164181	8.749634421	8.710728523	8.892452597	8.578404374	8.782987908	8.996626736	8.486546854	8.840265902	8.968885506	8.661698244	8.668213888	8.914064709	8.865607151	8.692903744	9.071236156	9.156686521	9.12536737	8.178497371	8.742040224	8.843585646	8.749094586
